Date,Market
2003-07-03,74.21064
2003-07-07,75.683716
2003-07-08,76.021904
2003-07-09,75.593529
2003-07-10,74.631508
2003-07-11,75.338005
2003-07-14,75.706261
2003-07-15,75.540886
2003-07-16,75.097488
2003-07-17,74.030228
2003-07-18,74.789314
2003-07-21,73.864883
2003-07-22,74.533791
2003-07-23,74.586426
2003-07-24,74.022728
2003-07-25,75.33046
2003-07-28,75.052406
2003-07-29,74.706673
2003-07-30,74.526283
2003-07-31,74.699158
2003-08-01,74.037758
2003-08-04,74.037758
2003-08-05,72.46698
2003-08-06,72.887863
2003-08-07,73.654457
2003-08-08,73.864883
2003-08-11,74.142998
2003-08-12,74.819427
2003-08-13,74.436104
2003-08-14,74.639015
2003-08-15,74.872017
2003-08-18,75.518372
2003-08-19,75.803963
2003-08-20,75.495819
2003-08-21,75.736298
2003-08-22,74.984764
2003-08-25,75.105003
2003-08-26,75.240295
2003-08-27,75.262825
2003-08-28,75.728821
2003-08-29,76.239899
2003-09-02,77.262047
2003-09-03,77.682892
2003-09-04,77.720467
2003-09-05,77.284584
2003-09-08,77.923447
2003-09-09,77.412338
2003-09-10,76.630699
2003-09-11,76.856171
2003-09-12,76.998962
2003-09-15,76.728386
2003-09-16,77.848251
2003-09-17,77.697906
2003-09-18,78.614868
2003-09-19,78.215027
2003-09-22,77.370003
2003-09-23,77.664253
2003-09-24,76.283546
2003-09-25,75.657379
2003-09-26,75.408394
2003-09-29,76.147774
2003-09-30,75.408394
2003-10-01,77.015388
2003-10-02,77.294548
2003-10-03,78.003738
2003-10-06,78.358337
2003-10-07,78.660118
2003-10-08,78.463982
2003-10-09,78.675232
2003-10-10,78.893974
2003-10-13,79.142982
2003-10-14,79.422127
2003-10-15,79.210884
2003-10-16,79.527763
2003-10-17,78.660118
2003-10-20,79.248581
2003-10-21,79.112785
2003-10-22,78.11692
2003-10-23,77.973564
2003-10-24,78.14711
2003-10-27,78.184822
2003-10-28,79.248581
2003-10-29,79.354248
2003-10-30,79.520218
2003-10-31,79.444756
2003-11-03,79.965347
2003-11-04,79.791801
2003-11-05,79.852203
2003-11-06,80.274673
2003-11-07,79.678665
2003-11-10,79.354248
2003-11-11,79.331612
2003-11-12,80.22187
2003-11-13,80.244476
2003-11-14,79.565498
2003-11-17,79.165604
2003-11-18,78.343254
2003-11-19,79.007179
2003-11-20,78.297997
2003-11-21,78.622406
2003-11-24,79.663567
2003-11-25,79.965347
2003-11-26,80.252029
2003-11-28,80.312439
2003-12-01,81.180031
2003-12-02,80.976318
2003-12-03,80.848083
2003-12-04,81.180031
2003-12-05,80.614189
2003-12-08,81.157387
2003-12-09,80.531197
2003-12-10,80.523659
2003-12-11,81.428986
2003-12-12,81.587433
2003-12-15,81.180031
2003-12-16,81.602531
2003-12-17,81.859055
2003-12-18,82.779495
2003-12-19,82.549065
2003-12-22,83.125145
2003-12-23,83.178215
2003-12-24,83.094818
2003-12-26,83.155472
2003-12-29,84.262192
2003-12-30,84.277336
2003-12-31,84.35318
2004-01-02,84.315269
2004-01-05,85.232468
2004-01-06,85.315842
2004-01-07,85.603889
2004-01-08,85.944977
2004-01-09,85.194572
2004-01-12,85.823715
2004-01-13,85.323425
2004-01-14,86.035988
2004-01-15,86.24823
2004-01-16,86.589333
2004-01-20,86.566589
2004-01-21,87.24881
2004-01-22,87.021416
2004-01-23,86.740944
2004-01-26,87.832489
2004-01-27,86.930458
2004-01-28,85.937416
2004-01-29,86.020805
2004-01-30,86.020805
2004-02-02,86.392265
2004-02-03,86.24823
2004-02-04,85.543259
2004-02-05,85.793396
2004-02-06,86.756081
2004-02-09,86.778824
2004-02-10,87.059319
2004-02-11,87.9841
2004-02-12,87.665703
2004-02-13,87.271553
2004-02-17,88.059906
2004-02-18,87.673286
2004-02-19,87.347359
2004-02-20,87.082031
2004-02-23,86.862221
2004-02-24,86.71064
2004-02-25,87.074493
2004-02-26,87.127533
2004-02-27,87.188164
2004-03-01,88.052345
2004-03-02,87.536858
2004-03-03,87.696053
2004-03-04,87.923454
2004-03-05,88.219101
2004-03-08,87.1427
2004-03-09,86.793999
2004-03-10,85.338593
2004-03-11,84.23188
2004-03-12,85.338593
2004-03-15,84.292511
2004-03-16,84.739746
2004-03-17,85.687256
2004-03-18,85.710022
2004-03-19,84.481537
2004-03-22,83.408966
2004-03-23,83.264435
2004-03-24,83.33287
2004-03-25,84.43586
2004-03-26,84.458702
2004-03-29,85.645348
2004-03-30,85.934433
2004-03-31,86.03331
2004-04-01,86.550583
2004-04-02,87.204765
2004-04-05,87.683998
2004-04-06,87.402527
2004-04-07,87.197128
2004-04-08,86.999405
2004-04-12,87.341698
2004-04-13,86.117004
2004-04-14,86.253914
2004-04-15,85.926834
2004-04-16,86.588615
2004-04-19,86.588615
2004-04-20,85.135712
2004-04-21,85.706223
2004-04-22,86.908112
2004-04-23,86.991783
2004-04-26,86.870056
2004-04-27,86.946114
2004-04-28,85.820313
2004-04-29,85.067261
2004-04-30,84.405449
2004-05-03,85.310646
2004-05-04,85.242188
2004-05-05,85.789902
2004-05-06,85.052025
2004-05-07,83.644775
2004-05-10,82.785164
2004-05-11,83.485046
2004-05-12,84.017479
2004-05-13,83.667572
2004-05-14,83.705597
2004-05-17,82.99057
2004-05-18,83.408966
2004-05-19,83.119888
2004-05-20,83.386124
2004-05-21,83.53067
2004-05-24,83.880554
2004-05-25,85.082451
2004-05-26,85.379112
2004-05-27,85.858353
2004-05-28,85.850746
2004-06-01,85.736649
2004-06-02,86.056107
2004-06-03,85.265007
2004-06-04,85.942047
2004-06-07,87.25042
2004-06-08,87.372124
2004-06-09,86.558197
2004-06-10,86.984177
2004-06-14,86.124634
2004-06-15,86.733116
2004-06-16,86.717949
2004-06-17,86.588615
2004-06-18,86.752014
2004-06-21,86.423668
2004-06-22,86.858841
2004-06-23,87.607063
2004-06-24,87.332214
2004-06-25,86.912292
2004-06-28,86.614548
2004-06-29,86.973389
2004-06-30,87.439117
2004-07-01,86.225204
2004-07-02,86.179398
2004-07-06,85.423584
2004-07-07,85.675514
2004-07-08,85.079987
2004-07-09,85.30143
2004-07-12,85.339592
2004-07-13,85.400681
2004-07-14,85.141098
2004-07-15,84.591393
2004-07-16,84.52269
2004-07-19,84.163872
2004-07-20,85.232697
2004-07-21,83.659958
2004-07-22,83.889023
2004-07-23,83.18663
2004-07-26,83.026314
2004-07-27,83.805023
2004-07-28,84.056969
2004-07-29,84.415817
2004-07-30,84.62191
2004-08-02,84.797539
2004-08-03,84.140945
2004-08-04,84.133339
2004-08-05,82.759102
2004-08-06,81.575729
2004-08-09,81.690262
2004-08-10,82.74382
2004-08-11,82.575859
2004-08-12,81.674988
2004-08-13,81.835335
2004-08-16,82.68277
2004-08-17,83.148483
2004-08-18,84.003517
2004-08-19,83.759224
2004-08-20,84.347069
2004-08-23,84.133339
2004-08-24,84.247826
2004-08-25,84.820442
2004-08-26,84.820442
2004-08-27,85.087646
2004-08-30,84.385231
2004-08-31,84.828072
2004-09-01,84.988411
2004-09-02,85.950348
2004-09-03,85.599167
2004-09-07,86.164116
2004-09-08,85.950348
2004-09-09,85.874008
2004-09-10,86.316818
2004-09-13,86.599304
2004-09-14,86.774864
2004-09-15,86.118324
2004-09-16,86.377892
2004-09-17,86.745125
2004-09-20,86.223808
2004-09-21,86.599487
2004-09-22,85.518478
2004-09-23,85.058495
2004-09-24,85.449471
2004-09-27,84.905182
2004-09-28,85.311485
2004-09-29,85.740822
2004-09-30,85.679489
2004-10-01,87.128448
2004-10-04,87.274086
2004-10-05,87.320099
2004-10-06,87.918083
2004-10-07,86.975113
2004-10-08,86.254494
2004-10-11,86.607117
2004-10-12,86.269798
2004-10-13,85.510849
2004-10-14,84.820854
2004-10-15,85.296173
2004-10-18,85.618164
2004-10-19,84.897499
2004-10-20,84.728859
2004-10-21,85.280846
2004-10-22,84.322533
2004-10-25,84.222862
2004-10-26,85.510849
2004-10-27,86.538132
2004-10-28,86.798775
2004-10-29,86.783447
2004-11-01,87.021095
2004-11-02,87.051765
2004-11-03,88.148071
2004-11-04,89.351692
2004-11-05,89.911339
2004-11-08,89.781006
2004-11-09,89.604698
2004-11-10,89.673676
2004-11-11,90.355965
2004-11-12,91.068962
2004-11-15,91.292717
2004-11-16,90.639107
2004-11-17,91.177376
2004-11-18,91.300407
2004-11-19,90.285423
2004-11-22,90.716034
2004-11-23,90.854439
2004-11-24,91.069702
2004-11-26,91.000534
2004-11-29,90.585312
2004-11-30,90.646828
2004-12-01,91.677177
2004-12-02,91.754066
2004-12-03,91.692535
2004-12-06,91.661774
2004-12-07,90.808273
2004-12-08,91.338844
2004-12-09,91.661774
2004-12-10,91.754066
2004-12-13,92.553696
2004-12-14,92.876663
2004-12-15,92.945877
2004-12-16,92.892052
2004-12-17,92.272453
2004-12-20,92.295639
2004-12-21,93.006386
2004-12-22,93.230415
2004-12-23,93.299942
2004-12-27,93.106812
2004-12-28,93.616692
2004-12-29,93.75573
2004-12-30,93.578072
2004-12-31,93.377182
2005-01-03,92.936852
2005-01-04,91.801224
2005-01-05,91.167732
2005-01-06,91.631271
2005-01-07,91.499931
2005-01-10,91.932556
2005-01-11,91.29908
2005-01-12,91.600357
2005-01-13,90.866417
2005-01-14,91.345406
2005-01-18,92.295639
2005-01-19,91.329948
2005-01-20,90.77372
2005-01-21,90.217514
2005-01-24,90.03981
2005-01-25,90.294754
2005-01-26,90.56514
2005-01-27,90.71965
2005-01-28,90.71965
2005-01-31,91.283615
2005-02-01,91.863029
2005-02-02,92.141106
2005-02-03,91.901642
2005-02-04,92.88279
2005-02-07,92.759171
2005-02-08,92.867325
2005-02-09,92.172028
2005-02-10,92.504227
2005-02-11,93.299942
2005-02-14,93.230415
2005-02-15,93.578072
2005-02-16,93.639854
2005-02-17,92.88279
2005-02-18,93.006386
2005-02-22,91.623528
2005-02-23,92.280197
2005-02-24,92.890526
2005-02-25,93.809799
2005-02-28,93.191772
2005-03-01,93.655327
2005-03-02,93.608971
2005-03-03,93.647614
2005-03-04,94.81414
2005-03-07,94.860458
2005-03-08,94.505127
2005-03-09,93.454468
2005-03-10,93.663033
2005-03-11,93.006386
2005-03-14,93.585777
2005-03-15,92.813232
2005-03-16,92.025269
2005-03-17,92.210663
2005-03-18,91.936867
2005-03-21,91.595634
2005-03-22,90.664925
2005-03-23,90.742493
2005-03-24,90.851089
2005-03-28,90.982925
2005-03-29,90.377945
2005-03-30,91.6577
2005-03-31,91.487053
2005-04-01,91.075996
2005-04-04,91.231102
2005-04-05,91.665421
2005-04-06,91.983437
2005-04-07,92.47979
2005-04-08,91.518066
2005-04-11,91.58786
2005-04-12,92.060982
2005-04-13,90.975174
2005-04-14,89.788521
2005-04-15,88.532104
2005-04-18,88.803528
2005-04-19,89.509331
2005-04-20,88.260635
2005-04-21,89.974663
2005-04-22,89.63343
2005-04-25,90.222862
2005-04-26,89.346451
2005-04-27,89.695465
2005-04-28,88.570892
2005-04-29,89.77301
2005-05-02,90.277153
2005-05-03,90.432251
2005-05-04,91.13028
2005-05-05,91.099251
2005-05-06,90.812286
2005-05-09,91.378456
2005-05-10,90.432251
2005-05-11,90.928619
2005-05-12,89.928139
2005-05-13,89.749748
2005-05-16,90.587364
2005-05-17,91.192322
2005-05-18,92.130798
2005-05-19,92.518555
2005-05-20,92.386711
2005-05-23,92.898582
2005-05-24,92.681427
2005-05-25,92.611649
2005-05-26,93.108025
2005-05-27,93.2631
2005-05-31,92.665916
2005-06-01,93.457001
2005-06-02,93.658638
2005-06-03,93.18557
2005-06-06,93.10025
2005-06-07,93.170074
2005-06-08,92.999405
2005-06-09,93.44149
2005-06-10,93.224335
2005-06-13,93.519058
2005-06-14,93.736259
2005-06-15,93.914589
2005-06-16,94.155037
2005-06-17,94.503883
2005-06-20,94.535049
2005-06-21,94.589539
2005-06-22,94.667419
2005-06-23,93.335808
2005-06-24,92.650604
2005-06-27,92.782982
2005-06-28,93.561646
2005-06-29,93.312508
2005-06-30,92.806328
2005-07-01,93.078865
2005-07-05,93.826431
2005-07-06,93.039948
2005-07-07,93.405899
2005-07-08,94.472755
2005-07-11,94.955551
2005-07-12,95.204697
2005-07-13,95.337112
2005-07-14,95.710876
2005-07-15,95.656372
2005-07-18,95.274788
2005-07-19,95.796539
2005-07-20,96.123611
2005-07-21,95.562935
2005-07-22,96.2015
2005-07-25,95.928909
2005-07-26,96.045723
2005-07-27,96.396156
2005-07-28,97.00354
2005-07-29,96.357224
2005-08-01,96.287186
2005-08-02,96.863358
2005-08-03,97.120361
2005-08-04,96.341652
2005-08-05,95.687546
2005-08-08,95.50843
2005-08-09,96.084656
2005-08-10,96.037971
2005-08-11,96.41951
2005-08-12,95.827682
2005-08-15,96.41951
2005-08-16,95.165771
2005-08-17,95.15799
2005-08-18,95.150215
2005-08-19,95.368263
