Date,AMZN,PG,XOM,BRK_B,JNJ,BA,DWDP,AMT,AAPL,NEE,XL,PLD,HIG,WMT
2015-09-11,529.440002,63.66161,67.050934,131.369995,87.44239,125.955193,41.91946,85.296791,109.487366,89.842896,34.960175,34.418659,44.054882,60.733757
2015-09-14,521.380005,63.326653,66.866447,130.899994,87.809364,125.730721,41.249214,84.885887,110.541878,90.105331,34.988529,34.39093,43.680969,60.386166
2015-09-15,522.369995,64.619987,67.207733,132.259995,88.825584,127.479721,41.756687,85.573906,111.471771,90.199081,35.508347,34.890144,44.313751,60.423748
2015-09-16,527.390015,65.224777,68.536041,132.580002,89.023178,128.321472,43.068466,86.577293,111.596405,91.398857,35.697372,35.23587,44.591789,60.771343
2015-09-17,538.869995,65.355042,68.683632,131.470001,89.239601,128.555298,42.340767,87.456451,109.209358,92.514275,35.659569,35.684383,43.920666,60.564671
2015-09-18,540.26001,65.075905,67.041702,129.100006,87.875229,127.283302,41.469437,86.472176,108.758797,91.192642,35.092487,35.647011,42.492119,59.503117
2015-09-21,548.390015,65.736534,67.696625,130.979996,87.630577,127.217842,42.149265,86.817955,110.446014,91.905022,35.357128,36.123547,42.827675,59.860104
2015-09-22,538.400024,65.308517,67.097054,129.300003,87.73407,125.319199,41.747112,85.530899,108.710861,90.96769,34.790058,35.637661,42.300362,59.737972
2015-09-23,536.070007,65.373665,66.691193,129.160004,87.49884,123.14933,40.770462,85.204338,109.592827,90.902077,34.827854,35.917976,42.616753,59.860104
2015-09-24,533.75,66.397163,67.087837,128.830002,87.018959,121.353592,40.684284,84.551208,110.244705,91.408234,34.53487,35.516193,43.239944,59.963432
2015-09-25,524.25,67.616035,67.549042,129.639999,85.62635,122.532036,40.521511,85.329193,109.966698,92.429916,34.714439,36.123547,43.508392,59.916458
2015-09-28,504.059998,66.778625,66.967911,128.619995,85.97451,119.838409,38.319252,83.763626,107.790565,91.436356,34.033951,35.525536,42.635929,59.80373
2015-09-29,496.070007,67.253166,67.309204,128.809998,87.545898,120.418289,38.836308,83.57151,104.550331,90.723969,34.251331,36.198296,43.192001,59.916458
2015-09-30,511.890015,66.936806,68.582161,130.399994,87.837578,122.475906,40.59811,84.503197,105.739059,91.436356,34.326935,36.347805,43.891903,60.912243
2015-10-01,520.719971,66.946114,68.314651,129.880005,87.668213,122.157898,41.153461,84.887383,105.04882,90.499023,34.024498,36.702866,44.093243,60.376774
2015-10-02,532.539978,67.383438,69.993462,129.830002,88.383331,123.981743,42.560989,86.193634,105.815742,92.364304,34.298584,37.254158,44.016533,61.04377
2015-10-05,543.679993,68.127792,70.851311,132.380005,89.164314,125.34726,44.341949,89.766632,106.199203,94.407677,34.336403,37.880207,44.74519,61.879864
2015-10-06,537.47998,68.295265,71.847534,131.190002,87.903465,125.917801,45.079224,89.680191,106.707283,93.592201,34.081203,37.880207,44.620552,61.70137
2015-10-07,541.940002,68.593033,73.055901,132.679993,89.371338,128.153122,45.471802,90.515793,106.199203,93.667175,34.601032,38.076424,44.965706,62.340183
2015-10-08,533.159973,69.225739,73.821518,133.75,89.465431,130.042389,45.759052,91.793251,104.97213,94.529533,35.035786,38.524925,45.167046,62.828678
2015-10-09,539.799988,69.300163,73.111252,133.029999,89.738312,130.659698,45.079224,91.188141,107.483788,94.717003,34.960175,38.693123,44.946529,62.650185
2015-10-12,550.190002,69.160606,73.148148,133.399994,90.321693,131.576279,44.619621,91.053673,106.985291,95.091927,35.101944,39.160313,44.927353,62.875641
2015-10-13,548.900024,68.955894,73.019028,132.190002,89.813576,131.211502,44.533447,89.997147,107.167442,94.895088,34.695538,38.590343,44.601379,62.687763
2015-10-14,544.830017,69.048935,73.941437,131.179993,88.947899,125.534332,45.107948,89.382431,105.652771,94.604507,34.109562,38.263302,43.987782,56.39362
2015-10-15,562.440002,69.104752,75.159035,133.800003,91.413185,128.499161,45.557976,90.909607,107.23455,96.732254,34.553772,38.777214,45.013645,55.736027
2015-10-16,570.76001,69.690956,76.081459,133.809998,92.438812,128.695587,45.596272,92.331108,106.448448,97.163429,34.790058,38.945408,45.195808,55.322678
2015-10-19,573.150024,69.932877,74.707039,133.619995,92.15654,129.46254,45.376045,92.965042,107.109909,97.266525,35.272068,39.524727,45.531376,55.285103
2015-10-20,560.880005,69.253647,74.559448,134.160004,91.827209,129.892761,45.6633,93.080299,109.065559,97.425873,36.018719,39.954548,46.097046,55.191158
2015-10-21,555.77002,69.087463,73.987556,133.220001,91.864845,132.053284,45.462223,92.263878,109.055977,97.669579,36.084877,39.982586,46.413433,55.087822
2015-10-22,563.909973,70.27037,76.459648,137.289993,93.652641,136.841949,47.798527,95.539124,110.724037,99.084953,36.765366,40.375027,46.768166,55.332077
2015-10-23,599.030029,72.317001,76.542656,137.779999,94.386589,137.20668,48.18153,95.250984,114.155998,98.007011,36.755917,40.206837,47.209202,54.768414
2015-10-26,608.609985,72.748848,74.919212,137,94.038452,137.20668,48.306007,95.596748,110.513138,97.341515,36.595238,40.393711,46.796932,54.505375
2015-10-27,611.01001,72.561096,74.799278,135.630005,94.273674,138.852783,48.535809,95.347031,109.813309,97.575851,36.02816,40.290928,43.470047,53.998089
2015-10-28,617.099976,71.828819,75.896965,138.160004,94.546539,138.310349,49.186905,96.883797,114.338127,96.49791,36.377865,40.505836,44.505505,54.148399
2015-10-29,626.549988,72.307594,75.850853,137.889999,95.383987,137.655655,48.736881,97.930717,115.546036,95.401253,36.217194,40.328312,45.176632,54.449013
2015-10-30,625.900024,71.706764,76.321274,136.020004,95.064064,138.488052,49.474159,98.190063,114.558632,96.226105,35.99036,39.926517,44.3521,53.772629
2015-11-02,628.349976,71.913307,78.664246,138.399994,96.136742,138.796677,49.397556,99.947746,116.169159,95.823051,36.113224,40.814182,44.831482,54.120213
2015-11-03,625.309998,72.335785,80.112442,137.940002,95.939156,138.506744,49.770981,99.198555,117.501694,95.898018,36.047062,40.412403,44.582203,54.58992
2015-11-04,640.950012,72.345146,79.309937,137.429993,95.920341,139.457245,49.196484,98.190063,116.955254,96.750992,35.621765,40.337654,44.668491,54.834179
2015-11-05,655.650024,71.716156,78.23069,136.570007,96.2873,139.250198,49.416714,96.883797,116.4161,95.701187,35.508347,40.318966,44.965706,55.059643
2015-11-06,659.369995,70.946335,77.917076,136.330002,95.901512,139.22197,49.63694,94.156029,116.550888,92.645493,35.536697,39.122936,45.636833,55.219341
2015-11-09,655.48999,70.786728,76.251534,134,94.885284,137.377457,49.502884,93.272392,116.07914,92.711113,35.309875,38.179207,44.946529,54.946915
2015-11-10,659.679993,71.134079,76.623726,134.729996,95.459267,136.596375,49.512459,93.291603,112.420677,92.795479,35.489445,38.440838,45.387558,55.125397
2015-11-11,673.25,71.312469,75.944489,134.960007,95.845055,136.445816,49.502884,93.76223,111.785263,93.470352,35.612309,38.627716,44.812313,54.092041
2015-11-12,665.599976,70.092003,73.888168,132.779999,94.348938,134.140167,48.286854,93.502907,111.40979,94.417061,35.101944,38.366089,43.84396,53.500202
2015-11-13,642.349976,69.434822,72.669258,131.960007,93.981979,134.187241,48.966682,92.571236,108.15567,94.135857,34.74279,38.281994,43.278294,53.0023
2015-11-16,647.809998,70.692848,75.274559,133.300003,95.242851,135.909409,49.455009,94.175247,109.927155,95.719933,35.177555,39.057537,43.987782,54.364464
2015-11-17,643.299988,70.476921,74.399918,133.089996,95.506325,137.471558,49.455009,94.463387,109.455406,94.435783,34.884567,38.870651,43.6618,56.290283
2015-11-18,663.539978,71.256149,75.125679,136.220001,96.607231,139.541962,50.900837,95.721611,112.92131,93.451591,35.347675,39.496696,44.00695,57.239101
2015-11-19,661.27002,71.556557,74.716278,136.630005,96.437851,140.445358,51.054039,95.69281,114.35582,94.660759,35.99036,39.515388,44.121998,57.023033
2015-11-20,668.450012,71.18103,74.241745,136.630005,97.139297,140.595917,51.054039,96.518814,114.856453,94.688866,36.283352,40.272243,44.083656,56.431198
2015-11-23,678.98999,71.321861,74.697662,135.990005,97.414177,139.598389,50.747635,95.990555,113.364174,94.192085,36.113224,40.384373,43.959011,56.609692
2015-11-24,671.150024,71.772491,76.186409,135.539993,96.722229,139.890137,51.111488,95.337425,114.452087,93.899284,36.084877,40.496494,43.815201,56.290283
2015-11-25,675.340027,71.256149,75.60022,135.130005,96.646385,138.74202,49.713531,95.174133,113.633751,93.398666,35.763535,40.403061,43.642624,56.5909
2015-11-27,673.26001,71.068367,75.581604,134.630005,97.035019,138.290314,49.799709,95.740829,113.421944,93.861496,35.933647,40.739433,43.873791,56.262108
2015-11-30,664.799988,70.260986,75.98172,134.089996,95.963905,136.878708,49.914612,95.452675,113.893692,94.324333,36.084877,39.945206,43.960476,55.275711
2015-12-01,679.059998,71.293694,76.195717,136.429993,97.025551,139.033768,51.149788,97.171944,112.969444,94.994972,36.633049,40.804844,44.499863,55.416622
2015-12-02,676.01001,71.15287,74.018433,135.270004,96.731697,138.299728,50.067814,95.529518,111.948929,92.557999,36.491276,39.571445,44.268696,55.274525
2015-12-03,666.25,71.105919,72.95771,132.660004,95.537369,136.982224,49.656082,94.021576,110.909157,91.075012,36.188839,38.75853,43.604092,55.928162
2015-12-04,672.640015,73.068047,73.376411,136.479996,97.584801,139.748978,51.044468,93.695007,114.596504,92.699677,36.992195,39.898487,44.991096,56.515484
2015-12-07,669.830017,73.57502,71.459656,135.600006,97.935509,139.70192,49.818855,93.82946,113.874435,93.105843,36.992195,39.861111,44.673244,57.311207
2015-12-08,677.330017,72.99295,69.440536,133.360001,97.082413,136.445816,48.736881,93.051476,113.826294,93.83316,36.822067,39.655544,44.153118,56.468117
2015-12-09,664.789978,72.945999,70.37101,131.710007,96.826492,135.740021,54.548927,91.76442,111.313515,93.285309,36.340054,39.365887,43.478878,56.013416
2015-12-10,662.320007,73.030502,70.426834,131.710007,97.290955,137.782135,52.576469,91.313011,111.843025,92.189621,36.094322,39.235069,43.344028,56.420753
2015-12-11,640.150024,73.021118,69.170708,130.309998,96.380997,136.09761,51.10191,89.977943,108.964409,92.010139,35.552769,39.065258,42.255611,56.231293
2015-12-14,657.909973,73.499901,70.743195,132.020004,96.826492,134.57309,49.11031,90.79863,108.290482,92.548546,35.809288,38.952049,41.629532,57.207001
2015-12-15,658.640015,74.804863,73.906776,134.880005,98.703308,137.895065,48.420906,92.314522,106.374588,93.247528,36.360348,39.206764,42.380829,56.49654
2015-12-16,675.77002,76.034714,73.646248,135.880005,99.764931,139.381973,48.564533,94.139374,107.192924,97.904236,36.531376,39.923733,42.939487,57.12175
2015-12-17,670.650024,75.377541,72.538986,133.970001,98.238838,136.982224,48.114506,92.777977,104.920845,97.677544,36.474365,39.621849,41.716225,55.871319
2015-12-18,664.140015,73.349693,71.906265,129.529999,96.636917,131.354614,47.520855,91.33934,102.080704,96.449608,35.780785,39.329403,40.560379,55.748177
